N,P,K,temperature,humidity,ph,rainfall,label,previous_week_avg,previous_month_avg,daily_price,price_change_percentage
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,1727.7,5008.96,1795.67,3.93
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,1808.04,4853.2,1849.75,2.31
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,1747.58,4730.24,1864.21,6.67
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,1705.23,4661.87,1779.65,4.36
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,1684.5,5028.33,1913.89,13.62
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,1832.05,4800.21,1565.74,-14.54
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,1834.74,4823.42,2091.6,14
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,1841.8,4993.35,1728.22,-6.17
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,1726.1,4992.6,1631.3,-5.49
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,1682.98,4874.86,1903.19,13.08
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,1788.29,4880.17,1572.18,-12.08
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,1772.08,5048.16,1580.74,-10.8
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,1752.75,5003.09,1879.35,7.22
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,1788.48,4933.14,1713.09,-4.22
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,1707.8,4975.89,1866.68,9.3
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,1822.49,5017.44,1828.69,0.34
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,1749.38,4971.46,1828.08,4.5
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,1789.47,4970.46,1998.84,11.7
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,1716.68,4802.38,1507.58,-12.18
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,1764.74,4666.52,1746.53,-1.03
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,1757.61,4766.76,1805.5,2.72
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,1655.18,4667.08,1815.37,9.68
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,1721.12,4702.97,1732.6,0.67
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,1803.08,4738.47,1869.55,3.69
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,1666.15,4672.82,1681.82,0.94
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,1757.21,4907.11,1876.4,6.78
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,1844.25,4858.66,1746.3,-5.31
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,1808.12,4760.48,1775.02,-1.83
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,1664.77,4662.28,1895.83,13.88
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,1816.28,4930.53,1766.67,-2.73
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,1683.74,4714.72,1557.58,-7.49
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,1758.93,4937.98,1843.46,4.81
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,1705.07,5034.09,1826.76,7.14
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,1759.95,4896.83,1717.5,-2.41
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,1698.63,4794.53,1830.03,7.74
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,1651.96,4698.57,1426.96,-13.62
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,1657.23,4994.33,1758.48,6.11
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,1743.92,4691.28,1739.53,-0.25
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,1743.77,4721.42,1709.17,-1.98
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,2443.69,3842.32,2542.73,4.05
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,2373.05,3745.82,2462.65,3.78
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,2464.62,3938.57,2581.96,4.76
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,2396.57,3624.2,2498.97,4.27
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,2369.29,3830.29,2682.2,13.21
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,2479.08,3751.24,2585.65,4.3
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,2455.64,3814.22,2780.86,13.24
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,2441.21,3980.45,2738.07,12.16
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,2403.15,3623.72,2115.33,-11.98
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,2367.63,3633.75,2497.62,5.49
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,2378.23,3723.57,2624.29,10.35
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,2368.64,3921.76,2213.63,-6.54
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,2387.62,3874.67,2479.98,3.87
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,2539.48,3890,2770.69,9.1
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,2420.39,3666.95,2602.37,7.52
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,2525.35,3992.18,2459.15,-2.62
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,2438.39,3906.54,2321.94,-4.78
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,2550.14,3939.34,2495.82,-2.13
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,2514.16,3897.79,2214.82,-11.91
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,2544.5,3798.08,2793.7,9.79
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,2428,3954.18,2347.29,-3.32
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,2366.16,3958.13,2076.04,-12.26
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,2427.85,3976,2756.05,13.52
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,2478.68,3848.71,2440.34,-1.55
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,2422.63,3727.44,2548.01,5.18
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,2514.46,3912.61,2732.93,8.69
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,2382.23,3793.74,2066.03,-13.27
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,2473.89,3772.59,2761.63,11.63
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,2434.17,3642.8,2173.46,-10.71
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,2516.29,3843.26,2215.18,-11.97
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,2380.81,3876.36,2075.66,-12.82
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,2528.36,3878.47,2210.81,-12.56
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,2380.96,3990.63,2291.15,-3.77
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,2438.12,3921.1,2765.25,13.42
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,2561.19,3897.33,2466.11,-3.71
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,2380.69,3906.83,2422.4,1.75
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,2448.83,3958.52,2163.2,-11.66
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,2462.51,3600.52,2439.36,-0.94
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,2375.25,3643.5,2102.71,-11.47
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,2493.83,3894.39,2556.2,2.5
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,2556.42,3745.92,2392.08,-6.43
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,2537.71,3685.41,2890.37,13.9
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,2366.42,3983.93,2042.1,-13.71
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,2542.22,3807.06,2918.19,14.79
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,2378.75,3817.52,2713.66,14.08
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,2468.61,3847.73,2613.58,5.87
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,2454.9,3847,2516.99,2.53
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,2544.22,3614.15,2377.04,-6.57
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,2554.07,3952.08,2520.09,-1.33
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,2488.01,3706.93,2255.22,-9.36
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,2456.73,3737.32,2518.39,2.51
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,2379.53,3985.73,2726.62,14.59
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,2503.62,3810.41,2360.56,-5.71
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,2526.75,3869.87,2271.01,-10.12
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,2546.17,3924.99,2889.75,13.49
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,2509.13,3841.34,2447.59,-2.45
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,2550.53,3942.4,2202.55,-13.64
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,2369.26,3746.56,2589.99,9.32
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,2561.44,3656.14,2633.77,2.82
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,2440.17,3983.94,2690.62,10.26
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,2531.65,3783.45,2466.96,-2.56
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,2418.67,3618.53,2683.31,10.94
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,2526.57,3995.86,2903.01,14.9
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,2475.07,3903.57,2805.32,13.34
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,2533.92,3694.91,2496.32,-1.48
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,2389.82,3977.6,2465.94,3.19
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize,2409.72,3864.66,2495.12,3.54
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,2435.62,3641.4,2560.99,5.15
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,2468.05,3904.9,2482.98,0.6
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,2534.42,3816.74,2580.75,1.83
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,2539.32,3757.37,2260.51,-10.98
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,2369.74,3898.03,2455.27,3.61
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,2504.8,3681.16,2231.55,-10.91
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,2366.9,3736.21,2430.75,2.7
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,2442.44,3770.97,2738.58,12.12
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,2433.64,3801.57,2640.73,8.51
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,2443.3,3844.81,2708.91,10.87
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,2553.89,3654.8,2880.73,12.8
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize,2462.41,3699.27,2432.22,-1.23
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,2559.99,3793.02,2428.47,-5.14
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,2490.67,3692.03,2173.75,-12.72
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,2389.76,3647.19,2140.2,-10.44
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize,2391.75,3852.33,2163.49,-9.54
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize,2433.12,3954.69,2414.11,-0.78
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,2497.5,3664.9,2266.95,-9.23
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize,2372.16,3663.55,2214.59,-6.64
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize,2399.39,3631.46,2126.32,-11.38
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,2456.14,3678.51,2356.13,-4.07
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,2464.67,3872.13,2124.04,-13.82
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,2523.87,3847.14,2207.19,-12.55
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,2538.7,3964.32,2204.41,-13.17
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,2419.36,3918.46,2599.55,7.45
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,2400.89,3679.72,2307.6,-3.89
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize,2460.89,3843.28,2364.11,-3.93
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,2456.49,3894.96,2115.05,-13.9
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,2414.48,3881.32,2700.75,11.86
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize,2466.32,3808.82,2175.67,-11.78
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,2453.47,3809.02,2263.92,-7.73
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,2417.84,3746.89,2069.72,-14.4
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,2428.4,3680.55,2302.73,-5.18
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,1235.99,2624.19,1270.69,2.81
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,1347.86,2583.65,1347.23,-0.05
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea,1229.42,2482.83,1261.45,2.61
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,1361.13,2440.65,1209.06,-11.17
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea,1268.79,2413.22,1324.33,4.38
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea,1326.19,2410.42,1519.75,14.6
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea,1333.19,2362.87,1173.92,-11.95
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,1242.61,2366.37,1116.12,-10.18
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,1249.35,2382.02,1126.93,-9.8
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,1391.39,2300.08,1401.62,0.74
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea,1294.12,2660.94,1143.5,-11.64
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,1291.61,2655.77,1433.24,10.97
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea,1375.45,2371.14,1239.65,-9.87
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,1345.77,2639.73,1368.69,1.7
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,1326.36,2379.98,1433.59,8.08
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea,1249.45,2397.46,1221.5,-2.24
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,1313.56,2364.95,1161.78,-11.55
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,1334.16,2383.44,1366.68,2.44
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,1242.91,2460.44,1255.06,0.98
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,1222.4,2402.63,1088.33,-10.97
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea,1224.71,2663.97,1159.44,-5.33
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,1374.01,2369.84,1448.83,5.45
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,1364.08,2506.24,1352.45,-0.85
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,1294.41,2407.53,1461.21,12.89
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea,1378.16,2653.99,1222.83,-11.27
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,1358.21,2643.32,1228.32,-9.56
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,1225.34,2564.43,1252.72,2.23
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea,1380.4,2323.89,1502.68,8.86
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea,1252.36,2333.45,1126.22,-10.07
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,1374.95,2534.06,1384.46,0.69
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,1283.8,2618.86,1242.38,-3.23
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea,1375.36,2443.64,1324.59,-3.69
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,1304.57,2388.53,1401.48,7.43
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea,1312.58,2360.87,1469.92,11.99
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,1288.82,2485.4,1445.98,12.19
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,1336.88,2314.74,1513.28,13.19
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea,1337.58,2401.95,1192.83,-10.82
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea,1370.84,2516.01,1384.6,1
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea,1390.82,2583.42,1245.48,-10.45
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea,1274.38,2367.38,1367.64,7.32
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea,1218.74,2495.94,1314.7,7.87
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea,1387.39,2404.82,1521.1,9.64
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea,1234.16,2606.56,1096.24,-11.18
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,1291.49,2586.9,1155.85,-10.5
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea,1257.89,2556.88,1340.92,6.6
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea,1340.27,2545.56,1357.45,1.28
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea,1262.4,2406.26,1141.81,-9.55
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea,1393.73,2501.34,1352.27,-2.97
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea,1304.44,2646.9,1168.79,-10.4
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea,1329.28,2470.34,1373.73,3.34
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea,1215.66,2616.83,1373.25,12.96
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea,1325.06,2546.64,1493.01,12.67
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,1353.49,2329,1384.47,2.29
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,chickpea,1333.38,2437.64,1427.96,7.09
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea,1398.91,2638.21,1378.28,-1.47
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea,1234.68,2661.92,1360.21,10.17
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea,1236.97,2636.32,1374.24,11.1
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,1315.8,2504.49,1275.93,-3.03
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea,1222.99,2402.06,1334.11,9.09
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea,1212.96,2401.38,1175.9,-3.06
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea,1319.52,2635.93,1258.7,-4.61
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,chickpea,1281.43,2562.98,1263.06,-1.43
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea,1256.96,2448.96,1121.53,-10.77
